Initial_temperature,angle,speed,Final_temperature
1.0,1.0,1.0,0.11775811529453802
1.0,1.0,1.2,0.0826854762082369
1.0,1.0,1.3,0.41139856769193917
1.0,1.0,1.5,0.13950655407414614
1.0,1.0,1.7,0.013633024135946074
1.0,1.0,1.8,0.39966410467763996
1.0,1.0,2.0,0.2821752712739123
1.0,1.0,2.2,0.23955217442549376
1.0,1.0,2.3,0.3919364626030114
1.0,1.0,2.5,0.09356665177388611
1.0,1.0,2.7,0.35849331281071706
1.0,1.0,2.8,0.12369752884876556
1.0,1.0,3.0,0.4771772393112575
1.0,1.0,3.2,0.19861441512673533
1.0,1.0,3.3,0.0657965112687753
1.0,1.0,3.5,0.04766680745988101
1.0,1.0,3.7,1.2417441514527727
1.0,1.0,3.8,0.6432961707698778
1.0,1.0,4.0,0.17452107336744663
1.0,1.0,4.2,0.24795759944275092
1.0,1.0,4.3,0.003125491885505488
1.0,1.0,4.5,1.388003144044087
1.0,1.0,4.7,1.1491247538929026
1.0,1.0,4.8,0.039807388044861676
1.0,1.0,5.0,0.7057980123556514
1.0,1.2,1.0,0.01016353450513676
1.0,1.2,1.2,0.27832737650984835
1.0,1.2,1.3,0.015218860655135646
1.0,1.2,1.5,0.16870353225936735
1.0,1.2,1.7,0.028273142264772767
1.0,1.2,1.8,0.18494413993611772
1.0,1.2,2.0,0.5535959054157845
1.0,1.2,2.2,0.8057718565121985
1.0,1.2,2.3,0.028257403870761522
1.0,1.2,2.5,0.5247773126414966
1.0,1.2,2.7,0.740957674857546
1.0,1.2,2.8,0.6142329996293064
1.0,1.2,3.0,0.019562056588199848
1.0,1.2,3.2,0.6067110736651831
1.0,1.2,3.3,0.038259737632597386
1.0,1.2,3.5,0.21645082924858158
1.0,1.2,3.7,0.27116469991930403
1.0,1.2,3.8,1.9806802130709706
1.0,1.2,4.0,0.32347878129558905
1.0,1.2,4.2,0.12033677392727118
1.0,1.2,4.3,0.2968885394394943
1.0,1.2,4.5,0.8855108107427517
1.0,1.2,4.7,0.3205537343897775
1.0,1.2,4.8,2.3512263952245487
1.0,1.2,5.0,0.7995651241512414
1.0,1.3,1.0,0.19264550477468595
1.0,1.3,1.2,0.17926524142657138
1.0,1.3,1.3,0.12990069497359144
1.0,1.3,1.5,0.05889812762449059
1.0,1.3,1.7,0.27115791606019224
1.0,1.3,1.8,0.0007552973549256405
1.0,1.3,2.0,0.12128168636658923
1.0,1.3,2.2,0.15379471561533384
1.0,1.3,2.3,0.16039832399420664
1.0,1.3,2.5,0.3579212925939587
1.0,1.3,2.7,1.0752294025431957
1.0,1.3,2.8,1.0082247201610597
1.0,1.3,3.0,1.0435818015573013
1.0,1.3,3.2,1.4361694243556336
1.0,1.3,3.3,0.07457695054834436
1.0,1.3,3.5,0.24350113851324515
1.0,1.3,3.7,0.8768203810509609
1.0,1.3,3.8,1.4678936177480124
1.0,1.3,4.0,0.09095288798624519
1.0,1.3,4.2,0.1703100447945268
1.0,1.3,4.3,0.0758208210400558
1.0,1.3,4.5,1.6088204199718177
1.0,1.3,4.7,0.023866270069889527
1.0,1.3,4.8,0.14087965745002926
1.0,1.3,5.0,0.0016856880252166262
1.0,1.5,1.0,0.6614789061616362
